Titre;Prix;Année;Kilometrage;Boite;Carburant;Marque;Modele;Ville;Image;Lien
TOYOTA Yaris;124000;2018;32 000;Manuelle;Diesel;Toyota;Yaris;Safi;https://www.moteur.ma/media/photos/ads/resized/toyota-yaris-352301.jpeg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/474632/toyota-yaris-.html
TOYOTA Yaris;137000;2018;39 000;Manuelle;Diesel;Toyota;Yaris;Tiznit;https://www.moteur.ma/media/photos/ads/resized/toyota-yaris-483490.jpeg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/474316/toyota-yaris-.html
TOYOTA Yaris Chic;137000;2018;39 000;Manuelle;Diesel;Toyota;Yaris;Agadir;https://www.moteur.ma/media/photos/ads/resized/toyota-yaris-662129.jpeg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/474040/toyota-yaris-chic.html
TOYOTA Yaris;137000;2018;39 000;Manuelle;Diesel;Toyota;Yaris;Agadir;https://www.moteur.ma/media/photos/ads/resized/toyota-yaris-821604.jpeg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/474169/toyota-yaris-.html
TOYOTA Yaris;130000;2020;49 000;Manuelle;Essence;Toyota;Yaris;Casablanca;https://www.moteur.ma/media/photos/ads/resized/toyota-yaris-277146.jpeg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/474054/toyota-yaris-.html
TOYOTA Yaris Bon état;160000;2023;29 000;Manuelle;Essence;Toyota;Yaris;Marrakech;https://www.moteur.ma/media/photos/ads/resized/toyota-yaris-640004.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/473185/toyota-yaris-bon-etat.html
TOYOTA Yaris Bien;16000;2023;29 000;Manuelle;Essence;Toyota;Yaris;Marrakech;https://www.moteur.ma/media/photos/ads/resized/toyota-yaris-388124.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/473190/toyota-yaris-bien.html
TOYOTA Yaris Bon état;160000;2023;29 000;Manuelle;Essence;Toyota;Yaris;Marrakech;https://www.moteur.ma/media/photos/ads/resized/toyota-yaris-669067.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/473237/toyota-yaris-bon-etat.html
TOYOTA Yaris;125000;2021;108 000;Automatique;Hybride;Toyota;Yaris;Tanger;https://www.moteur.ma/media/photos/ads/resized/toyota-yaris-321055.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/472868/toyota-yaris-.html
TOYOTA Yaris;180000;2021;60 000;Automatique;Hybride;Toyota;Yaris;Casablanca;https://www.moteur.ma/media/photos/ads/resized/toyota-yaris-399950.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/472716/toyota-yaris-.html
TOYOTA Yaris;65000;2008;170 000;Manuelle;Essence;Toyota;Yaris;Casablanca;https://www.moteur.ma/media/photos/ads/resized/toyota-yaris-440636.jpeg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/471583/toyota-yaris-.html
TOYOTA Yaris;100000;2019;41 000;Manuelle;Essence;Toyota;Yaris;Fes;https://www.moteur.ma/media/photos/ads/resized/toyota-yaris-352117.jpeg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/470248/toyota-yaris-.html
TOYOTA Yaris Distinctive;138000;2021;62 000;Manuelle;Essence;Toyota;Yaris;Casablanca;https://www.moteur.ma/media/photos/ads/resized/toyota-yaris-340544.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/470110/toyota-yaris-distinctive.html
TOYOTA Yaris Coup;74000;2012;200 000;Manuelle;Essence;Toyota;Yaris;Casablanca;https://www.moteur.ma/media/photos/ads/resized/toyota-yaris-172160.jpg;https://www.moteur.ma/fr/voiture/achat-voiture-occasion/detail-annonce/469692/toyota-yaris-coup.html
